types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Spider_Grandmother,SpiderWoman,84,28,0.999999999999602,0.0,1,19,== Discography == | === Movie scores ===
http://dbpedia.org/class/yago/WikicatCreatorDeities,http://dbpedia.org/resource/Spider_Grandmother,SpiderWoman,84,28,0.999999999999602,0.0,1,19,== Discography == | === Movie scores ===
http://dbpedia.org/class/yago/WikicatCreatorGoddesses,http://dbpedia.org/resource/Spider_Grandmother,SpiderWoman,84,28,0.999999999999602,0.0,1,19,== Discography == | === Movie scores ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Spider_Grandmother,SpiderWoman,84,28,0.999999999999602,0.0,1,19,== Discography == | === Movie scores ===
http://dbpedia.org/class/yago/Belief105941423,http://dbpedia.org/resource/Spider_Grandmother,SpiderWoman,84,28,0.999999999999602,0.0,1,19,== Discography == | === Movie scores ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Spider_Grandmother,SpiderWoman,84,28,0.999999999999602,0.0,1,19,== Discography == | === Movie scores ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Spider_Grandmother,SpiderWoman,84,28,0.999999999999602,0.0,1,19,== Discography == | === Movie scores ===
http://dbpedia.org/class/yago/Deity109505418,http://dbpedia.org/resource/Spider_Grandmother,SpiderWoman,84,28,0.999999999999602,0.0,1,19,== Discography == | === Movie scores ===
http://dbpedia.org/class/yago/Goddess109535622,http://dbpedia.org/resource/Spider_Grandmother,SpiderWoman,84,28,0.999999999999602,0.0,1,19,== Discography == | === Movie scores ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Spider_Grandmother,SpiderWoman,84,28,0.999999999999602,0.0,1,19,== Discography == | === Movie scores ===
http://dbpedia.org/class/yago/SpiritualBeing109504135,http://dbpedia.org/resource/Spider_Grandmother,SpiderWoman,84,28,0.999999999999602,0.0,1,19,== Discography == | === Movie scores ===
http://dbpedia.org/class/yago/WikicatGoddessesOfTheIndigenousPeoplesOfNorthAmerica,http://dbpedia.org/resource/Spider_Grandmother,SpiderWoman,84,28,0.999999999999602,0.0,1,19,== Discography == | === Movie scores ===
