types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Feminist_art,feminist,290,175,0.9880178397034468,0.0120539577275493,11,9,== Biography == | === Film ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Feminist_art,feminist,290,175,0.9880178397034468,0.0120539577275493,11,9,== Biography == | === Film ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Feminist_art,feminist,290,175,0.9880178397034468,0.0120539577275493,11,9,== Biography == | === Film ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Feminist_art,feminist,290,175,0.9880178397034468,0.0120539577275493,11,9,== Biography == | === Film ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Feminist_art,feminist,290,175,0.9880178397034468,0.0120539577275493,11,9,== Biography == | === Film ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Feminist_art,feminist,290,175,0.9880178397034468,0.0120539577275493,11,9,== Biography == | === Film ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Feminist_art,feminist,290,175,0.9880178397034468,0.0120539577275493,11,9,== Biography == | === Film ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Feminist_art,feminist,290,175,0.9880178397034468,0.0120539577275493,11,9,== Biography == | === Film ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Feminist_art,feminist,290,175,0.9880178397034468,0.0120539577275493,11,9,== Biography == | === Film ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Feminist_art,feminist,290,175,0.9880178397034468,0.0120539577275493,11,9,== Biography == | === Film ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Feminist_art,feminist,290,175,0.9880178397034468,0.0120539577275493,11,9,== Biography == | === Film ===
http://dbpedia.org/class/yago/WikicatFeministArtists,http://dbpedia.org/resource/Feminist_art,feminist,290,175,0.9880178397034468,0.0120539577275493,11,9,== Biography == | === Film ===
