types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/WikicatAmericanBiographers,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/WikicatAmericanLibrarians,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/WikicatAmericanPeople,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/Adult109605289,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/Biographer109855433,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/Librarian110257948,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/Professional110480253,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Alexander_Wheelock_Thayer,Alexander Wheelock Thayer,84,1,1.0,0.0,8,14,== History == | === Vienna ===
