types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Sport,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatConcertHalls,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatMusicVenuesInTokyo,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Area102735688,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Area108497294,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/ConcertHall103086580,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Hall103478907,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Room104105893,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Scene108645963,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Venue108677628,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatSportsVenuesInTokyo,http://dbpedia.org/resource/Tokyo_Dome_City_Hall,JCB Hall,125,77,1.0,0.0,1,7,== Career == | === Music career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/ABO_blood_group_system,type A blood,322,66,1.0,0.0,3,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatBloodAntigenSystems,http://dbpedia.org/resource/ABO_blood_group_system,type A blood,322,66,1.0,0.0,3,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/ABO_blood_group_system,type A blood,322,66,1.0,0.0,3,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/ABO_blood_group_system,type A blood,322,66,1.0,0.0,3,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/ABO_blood_group_system,type A blood,322,66,1.0,0.0,3,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/ABO_blood_group_system,type A blood,322,66,1.0,0.0,3,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/System104377057,http://dbpedia.org/resource/ABO_blood_group_system,type A blood,322,66,1.0,0.0,3,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/ABO_blood_group_system,type A blood,322,66,1.0,0.0,3,7,== Career == | === Music career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatKyungHeeUniversityAlumni,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatPeopleFromSeoul,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatRunningMan(TVSeries)Contestants,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Actor109765278,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Alumnus109786338,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Contestant109613191,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Guitarist110151760,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Singer110599806,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/Wikicat21st-centurySouthKoreanMaleActors,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatSouthKoreanGuitarists,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatSouthKoreanMaleChildActors,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatSouthKoreanMaleFilmActors,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatSouthKoreanMaleTelevisionActors,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatSouthKoreanPopRockSingers,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://dbpedia.org/class/yago/WikicatSouthKoreanRockGuitarists,http://dbpedia.org/resource/Lee_Hong-gi,Lee Hong-gi,85,100,1.0,0.0,4,7,== Career == | === Music career ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/WikicatJoseonDynastyWorks,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/WikicatKoreanNovelsAdaptedIntoFilms,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Chunhyangjeon,Lee Mong-ryong,46,89,0.9999999999996874,0.0,6,10,== Career == | === Television and acting ===
