types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Mutiny_on_the_Bounty,Bounty mutineers,415,194,1.0,0.0,2,15,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Mutiny100963896,http://dbpedia.org/resource/Mutiny_on_the_Bounty,Bounty mutineers,415,194,1.0,0.0,2,15,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Mutiny_on_the_Bounty,Bounty mutineers,415,194,1.0,0.0,2,15,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Mutiny_on_the_Bounty,Bounty mutineers,415,194,1.0,0.0,2,15,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Conflict100958896,http://dbpedia.org/resource/Mutiny_on_the_Bounty,Bounty mutineers,415,194,1.0,0.0,2,15,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Mutiny_on_the_Bounty,Bounty mutineers,415,194,1.0,0.0,2,15,== Career == | === 2000s ===
http://dbpedia.org/class/yago/GroupAction101080366,http://dbpedia.org/resource/Mutiny_on_the_Bounty,Bounty mutineers,415,194,1.0,0.0,2,15,== Career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatConflictsIn1789,http://dbpedia.org/resource/Mutiny_on_the_Bounty,Bounty mutineers,415,194,1.0,0.0,2,15,== Career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatMutinies,http://dbpedia.org/resource/Mutiny_on_the_Bounty,Bounty mutineers,415,194,1.0,0.0,2,15,== Career == | === 2000s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Mutiny_on_the_Bounty,Bounty mutineers,415,194,1.0,0.0,2,15,== Career == | === 2000s ===
http://dbpedia.org/class/yago/Rebellion100962129,http://dbpedia.org/resource/Mutiny_on_the_Bounty,Bounty mutineers,415,194,1.0,0.0,2,15,== Career == | === 2000s ===
http://dbpedia.org/class/yago/WikicatRoyalNavyMutinies,http://dbpedia.org/resource/Mutiny_on_the_Bounty,Bounty mutineers,415,194,1.0,0.0,2,15,== Career == | === 2000s ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Mutiny_on_the_Bounty,Bounty mutineers,415,194,1.0,0.0,2,15,== Career == | === 2000s ===
