types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/WikicatChoirsInNewYork,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/WikicatMusicalGroupsEstablishedIn1847,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/WikicatMusicalGroupsFromNewYorkCity,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Choir108188638,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Chorus108187837,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/MusicalOrganization108246613,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Liederkranz_of_the_City_of_New_York,Liederkranz Foundation,20,80,1.0,0.0,7,9,== Career == | === Concerts ===
