types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Band,http://dbpedia.org/resource/Gargling,Gargling,51,4,0.9999999813345256,0.0,0,5,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Work100575741,http://dbpedia.org/resource/Gargling,Gargling,51,4,0.9999999813345256,0.0,0,5,== Discography == | === Albums ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Gargling,Gargling,51,4,0.9999999813345256,0.0,0,5,== Discography == | === Albums ===
http://dbpedia.org/class/yago/WikicatMedicalTreatments,http://dbpedia.org/resource/Gargling,Gargling,51,4,0.9999999813345256,0.0,0,5,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Gargling,Gargling,51,4,0.9999999813345256,0.0,0,5,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Gargling,Gargling,51,4,0.9999999813345256,0.0,0,5,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Gargling,Gargling,51,4,0.9999999813345256,0.0,0,5,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Care100654885,http://dbpedia.org/resource/Gargling,Gargling,51,4,0.9999999813345256,0.0,0,5,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Gargling,Gargling,51,4,0.9999999813345256,0.0,0,5,== Discography == | === Albums ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Gargling,Gargling,51,4,0.9999999813345256,0.0,0,5,== Discography == | === Albums ===
http://dbpedia.org/class/yago/Treatment100658082,http://dbpedia.org/resource/Gargling,Gargling,51,4,0.9999999813345256,0.0,0,5,== Discography == | === Albums ===
