types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Jacqueline_Rogers,Jacqueline Rogers,5,47,1.0,0.0,0,24,== Books == | === Calvin Coconut ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Title_page,imprint,237,100,0.7586861083234987,0.2736125467400433,0,24,== Books == | === Calvin Coconut ===
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Title_page,imprint,237,100,0.7586861083234987,0.2736125467400433,0,24,== Books == | === Calvin Coconut ===
