types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/ontology/PersonFunction,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/WikicatCartoonists,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/WikicatComics,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Cartoonist109898346,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Comedian109940146,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Draftsman110029068,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Inker,ink,987,120,0.9999999999990336,8.780699256630005e-13,2,11,== Career == | === 1970s ===
