types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Young_Communist_League_USA,Young Communist League USA,153,35,0.9999998911231446,1.0887687124325426e-07,9,8,== Early life == | === Education ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Young_Communist_League_USA,Young Communist League USA,153,35,0.9999998911231446,1.0887687124325426e-07,9,8,== Early life == | === Education ===
http://dbpedia.org/class/yago/WikicatCommunistPartyUSAMassOrganizations,http://dbpedia.org/resource/Young_Communist_League_USA,Young Communist League USA,153,35,0.9999998911231446,1.0887687124325426e-07,9,8,== Early life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Young_Communist_League_USA,Young Communist League USA,153,35,0.9999998911231446,1.0887687124325426e-07,9,8,== Early life == | === Education ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Young_Communist_League_USA,Young Communist League USA,153,35,0.9999998911231446,1.0887687124325426e-07,9,8,== Early life == | === Education ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Young_Communist_League_USA,Young Communist League USA,153,35,0.9999998911231446,1.0887687124325426e-07,9,8,== Early life == | === Education ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Young_Communist_League_USA,Young Communist League USA,153,35,0.9999998911231446,1.0887687124325426e-07,9,8,== Early life == | === Education ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Young_Communist_League_USA,Young Communist League USA,153,35,0.9999998911231446,1.0887687124325426e-07,9,8,== Early life == | === Education ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Young_Communist_League_USA,Young Communist League USA,153,35,0.9999998911231446,1.0887687124325426e-07,9,8,== Early life == | === Education ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Young_Communist_League_USA,Young Communist League USA,153,35,0.9999998911231446,1.0887687124325426e-07,9,8,== Early life == | === Education ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1920,http://dbpedia.org/resource/Young_Communist_League_USA,Young Communist League USA,153,35,0.9999998911231446,1.0887687124325426e-07,9,8,== Early life == | === Education ===
