types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#SocialPerson,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://schema.org/Organization,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://www.wikidata.org/entity/Q24229398,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://www.wikidata.org/entity/Q43229,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://www.wikidata.org/entity/Q4830453,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/WikicatChemicalCompaniesOfFrance,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/WikicatCompaniesDisestablishedIn1999,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/WikicatCompaniesOfFrance,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/WikicatDefunctCompanies,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/WikicatDefunctCompaniesOfFrance,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/OilCompany108069241,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/WikicatEnergyCompaniesOfFrance,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/WikicatOilCompanies,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/WikicatOilCompaniesOfFrance,http://dbpedia.org/resource/Elf_Aquitaine,Elf,254,12,0.4340193622347065,0.7735410592375783,0,163,== Filmography == | === Television animation ===
