types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatProjectors,http://dbpedia.org/resource/Opaque_projector,epidiascope,29,78,1.0,0.0,2,11,== Biography == | === 1950s ===
http://dbpedia.org/ontology/Device,http://dbpedia.org/resource/Opaque_projector,epidiascope,29,78,1.0,0.0,2,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/WikicatDisplayDevices,http://dbpedia.org/resource/Opaque_projector,epidiascope,29,78,1.0,0.0,2,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Opaque_projector,epidiascope,29,78,1.0,0.0,2,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/Device103183080,http://dbpedia.org/resource/Opaque_projector,epidiascope,29,78,1.0,0.0,2,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Opaque_projector,epidiascope,29,78,1.0,0.0,2,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Opaque_projector,epidiascope,29,78,1.0,0.0,2,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/OpticalDevice103851341,http://dbpedia.org/resource/Opaque_projector,epidiascope,29,78,1.0,0.0,2,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Opaque_projector,epidiascope,29,78,1.0,0.0,2,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/Projector104009801,http://dbpedia.org/resource/Opaque_projector,epidiascope,29,78,1.0,0.0,2,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Opaque_projector,epidiascope,29,78,1.0,0.0,2,11,== Biography == | === 1950s ===
http://dbpedia.org/class/yago/WikicatOpticalDevices,http://dbpedia.org/resource/Opaque_projector,epidiascope,29,78,1.0,0.0,2,11,== Biography == | === 1950s ===
