types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatAmericanNovels,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatChannelledTexts,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatDialogues,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Conversation107133701,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Dialogue107136206,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Fiction106367107,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Matter106365467,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Novel106367879,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Speech107109196,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Talk107135734,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Text106387980,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatNewAgeTexts,http://dbpedia.org/resource/Conversations_with_God,Conversations With God,36,16,1.0,0.0,0,22,== Discography == | === Studio albums ===
