types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/New_World_Order_(professional_wrestling),nWo Wolfpac,832,194,0.9999999979397672,0.0,2,31,== Other media == | === Music ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/New_World_Order_(professional_wrestling),nWo Wolfpac,832,194,0.9999999979397672,0.0,2,31,== Other media == | === Music ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/New_World_Order_(professional_wrestling),nWo Wolfpac,832,194,0.9999999979397672,0.0,2,31,== Other media == | === Music ===
http://dbpedia.org/ontology/WrestlingEvent,http://dbpedia.org/resource/New_World_Order_(professional_wrestling),nWo Wolfpac,832,194,0.9999999979397672,0.0,2,31,== Other media == | === Music ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1996,http://dbpedia.org/resource/New_World_Order_(professional_wrestling),nWo Wolfpac,832,194,0.9999999979397672,0.0,2,31,== Other media == | === Music ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/New_World_Order_(professional_wrestling),nWo Wolfpac,832,194,0.9999999979397672,0.0,2,31,== Other media == | === Music ===
http://dbpedia.org/class/yago/Team108208560,http://dbpedia.org/resource/New_World_Order_(professional_wrestling),nWo Wolfpac,832,194,0.9999999979397672,0.0,2,31,== Other media == | === Music ===
http://dbpedia.org/class/yago/Unit108189659,http://dbpedia.org/resource/New_World_Order_(professional_wrestling),nWo Wolfpac,832,194,0.9999999979397672,0.0,2,31,== Other media == | === Music ===
http://dbpedia.org/class/yago/WikicatWWETeamsAndStables,http://dbpedia.org/resource/New_World_Order_(professional_wrestling),nWo Wolfpac,832,194,0.9999999979397672,0.0,2,31,== Other media == | === Music ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/New_World_Order_(professional_wrestling),nWo Wolfpac,832,194,0.9999999979397672,0.0,2,31,== Other media == | === Music ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/New_World_Order_(professional_wrestling),nWo Wolfpac,832,194,0.9999999979397672,0.0,2,31,== Other media == | === Music ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/New_World_Order_(professional_wrestling),nWo Wolfpac,832,194,0.9999999979397672,0.0,2,31,== Other media == | === Music ===
