types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Fastball,Fastball,1686,54,0.985017484817331,0.0152103904325236,0,9,== Biography == | === Recent career ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/ontology/Writer,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/WikicatBritishRadioWriters,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/WikicatBritishStand-upComedians,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/WikicatBritishTelevisionWriters,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/WikicatWritersFromLondon,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Writer110794014,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Comedian109940146,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
http://dbpedia.org/class/yago/Performer110415638,http://dbpedia.org/resource/Kevin_Day,Kevin Day,27,107,0.99999999978931,0.0,0,11,== Biography == | === Recent career ===
