types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/WikicatFolkloristicCharacters,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/WikicatHolidayCharacters,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/WikicatChristianFestivalsAndHolyDays,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/WikicatChristmasCharacters,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/WikicatChristmasTraditions,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/Tradition105809745,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/WikicatAdvertisingCharacters,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
http://dbpedia.org/class/yago/WikicatFictionalCharacters,http://dbpedia.org/resource/Santa_Claus,Grandsanta,4558,18,0.999999997945487,0.0,0,212,== Filmography == | ==== Animation ====
