types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Cathedral_close,Cathedral close,99,69,1.0,0.0,5,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/WikicatCathedrals,http://dbpedia.org/resource/Cathedral_close,Cathedral close,99,69,1.0,0.0,5,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Cathedral_close,Cathedral close,99,69,1.0,0.0,5,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Cathedral_close,Cathedral close,99,69,1.0,0.0,5,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Cathedral_close,Cathedral close,99,69,1.0,0.0,5,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Building102913152,http://dbpedia.org/resource/Cathedral_close,Cathedral close,99,69,1.0,0.0,5,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Cathedral102984061,http://dbpedia.org/resource/Cathedral_close,Cathedral close,99,69,1.0,0.0,5,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Church103028079,http://dbpedia.org/resource/Cathedral_close,Cathedral close,99,69,1.0,0.0,5,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Cathedral_close,Cathedral close,99,69,1.0,0.0,5,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Cathedral_close,Cathedral close,99,69,1.0,0.0,5,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/PlaceOfWorship103953416,http://dbpedia.org/resource/Cathedral_close,Cathedral close,99,69,1.0,0.0,5,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Cathedral_close,Cathedral close,99,69,1.0,0.0,5,55,== Personal life == | === Private residence ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Cathedral_close,Cathedral close,99,69,1.0,0.0,5,55,== Personal life == | === Private residence ===
