types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatLaboratoriesInFiction,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
http://dbpedia.org/class/yago/WikicatVideoGameLocations,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
http://dbpedia.org/class/yago/Workplace104602044,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
http://dbpedia.org/class/yago/GeographicPoint108578706,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
http://dbpedia.org/class/yago/Lab103629986,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
http://dbpedia.org/class/yago/Point108620061,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
http://dbpedia.org/class/yago/WikicatFictionalLaboratories,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
http://dbpedia.org/class/yago/WikicatFictionalSealedLocations,http://dbpedia.org/resource/Locations_of_Half-Life,Black Mesa,374,0,0.9963827251044712,0.0031633037479712,0,40,== Discography == | === Solo discography ===
