types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/class/yago/MercantileEstablishment103748162,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/class/yago/Bookshop102871525,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/class/yago/Establishment103297735,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/class/yago/WikicatIndependentBookstores,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/class/yago/Shop104202417,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/class/yago/PlaceOfBusiness103953020,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Independent_bookstore,independent bookstores,190,74,1.0,0.0,7,8,== Life and career == | === Toronto (1979–1986) ===
