types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/RecordLabel,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/WikicatRecordLabelDistributors,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Businessperson109882716,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Capitalist109609232,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Distributor110018861,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Supplier110677271,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Redeye_Distribution,Redeye,57,37,0.9987812023543846,0.0011773443459771,3,9,== Career == | === Other projects ===
