types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/WikicatActingTechniques,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Fairytale107222581,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Know-how105616786,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Method105660268,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Narrative107221094,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/Technique105665146,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/WikicatFairyTales,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
http://dbpedia.org/class/yago/WikicatTheatricalGenres,http://dbpedia.org/resource/Improvisational_theatre,improvisational theatre,1282,106,1.0,0.0,6,20,== Career == | === 1950s-1960s ===
