types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatHinduDeities,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/WikicatHinduSymbols,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/Word106286395,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/Belief105941423,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/Deity109505418,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/Form106290637,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/LanguageUnit106284225,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/Part113809207,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/Relation100031921,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/SpiritualBeing109504135,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
http://dbpedia.org/class/yago/WikicatFormsOfVishnu,http://dbpedia.org/resource/Shaligram,Shaligram,157,119,0.999999997613088,0.0,0,23,== Musicianship == | === Students ===
