types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/WikicatChristianHymns,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/WikicatLatinHymns,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/WikicatLatinPoems,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Hymn107035870,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Poem106377442,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/ReligiousMusic107033007,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/ReligiousSong107035420,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Victimae_paschali_laudes,Victimae paschali laudes,33,34,1.0,0.0,0,38,== Compositions == | === Organ solo ===
