types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Central_Time_Zone,Central time,5117,79,0.9999999999999432,0.0,3,11,== Career == | === Later career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Central_Time_Zone,Central time,5117,79,0.9999999999999432,0.0,3,11,== Career == | === Later career ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Central_Time_Zone,Central time,5117,79,0.9999999999999432,0.0,3,11,== Career == | === Later career ===
http://dbpedia.org/ontology/Settlement,http://dbpedia.org/resource/Central_Time_Zone,Central time,5117,79,0.9999999999999432,0.0,3,11,== Career == | === Later career ===
http://dbpedia.org/class/yago/WikicatTimeZones,http://dbpedia.org/resource/Central_Time_Zone,Central time,5117,79,0.9999999999999432,0.0,3,11,== Career == | === Later career ===
http://dbpedia.org/class/yago/WikicatTimeZonesInTheUnitedStates,http://dbpedia.org/resource/Central_Time_Zone,Central time,5117,79,0.9999999999999432,0.0,3,11,== Career == | === Later career ===
http://dbpedia.org/class/yago/TimeZone108691276,http://dbpedia.org/resource/Central_Time_Zone,Central time,5117,79,0.9999999999999432,0.0,3,11,== Career == | === Later career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Central_Time_Zone,Central time,5117,79,0.9999999999999432,0.0,3,11,== Career == | === Later career ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Central_Time_Zone,Central time,5117,79,0.9999999999999432,0.0,3,11,== Career == | === Later career ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Central_Time_Zone,Central time,5117,79,0.9999999999999432,0.0,3,11,== Career == | === Later career ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Central_Time_Zone,Central time,5117,79,0.9999999999999432,0.0,3,11,== Career == | === Later career ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Central_Time_Zone,Central time,5117,79,0.9999999999999432,0.0,3,11,== Career == | === Later career ===
http://dbpedia.org/class/yago/Zone108541841,http://dbpedia.org/resource/Central_Time_Zone,Central time,5117,79,0.9999999999999432,0.0,3,11,== Career == | === Later career ===
