types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatCarriages,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/WikicatWagons,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/WikicatRoadVehicles,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Car102959942,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Container103094503,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Conveyance103100490,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/PassengerCar103895866,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Vehicle104524313,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Wagon104543158,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/WheeledVehicle104576211,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Chuckwagon,chuckwagon,112,117,1.0,0.0,5,28,== Personal life == | === Activism ===
