types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/class/yago/WikicatMediaInBerlin,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/class/yago/WikicatOrganizationsDisestablishedIn1991,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1952,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
http://dbpedia.org/class/yago/WikicatEasternBlocMedia,http://dbpedia.org/resource/Rundfunk_der_DDR,East German Radio,60,32,0.9999999999999716,0.0,6,24,== Life and career == | === 1953–1975 ===
