types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/WikicatAustralianExpatriatesInGermany,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/WikicatAustralianOperaDirectors,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/WikicatAustralianPeople,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/WikicatAustralianTheatreDirectors,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/WikicatDirectors,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Absentee109757653,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Administrator109770949,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Director110014939,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Director110015215,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Exile110071332,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Head110162991,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Superior110676018,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Supervisor110676877,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Traveler109629752,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/WikicatPeopleEducatedAtMelbourneGrammarSchool,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
http://dbpedia.org/class/yago/WikicatTheatreDirectorsFromMelbourne,http://dbpedia.org/resource/Barrie_Kosky,Barrie Kosky,74,65,1.0,0.0,3,4,== Life and career == | === Conducting ===
