types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Tempo,Allegro con brio,8842,93,1.0,0.0,2,30,== Selected compositions == | === Australian works ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Tempo,Allegro con brio,8842,93,1.0,0.0,2,30,== Selected compositions == | === Australian works ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Tempo,Allegro con brio,8842,93,1.0,0.0,2,30,== Selected compositions == | === Australian works ===
