types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/WikicatEatingBehaviors,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/WikicatEatingDisorders,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Behavior101220984,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Condition113920835,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Disorder114052403,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/EatingDisorder114055623,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/PhysicalCondition114034177,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
http://dbpedia.org/class/yago/State100024720,http://dbpedia.org/resource/Inedia,Inedia,117,0,0.9999999839601588,0.0,0,32,== Discography == | === EPs ===
