types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAlbumsProducedByArtGarfunkel,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/WikicatAlbumsProducedByPaulSimon,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/WikicatAlbumsProducedByRoyHalee,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/WikicatColumbiaRecordsAlbums,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/WikicatConceptAlbums,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://umbel.org/umbel/rc/Album_IBO,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://umbel.org/umbel/rc/MusicalComposition,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/WikicatMobileFidelitySoundLabAlbums,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/WikicatSimon&GarfunkelAlbums,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/Album106591815,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/ConceptAlbum106592078,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/Wikicat1968Albums,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/WikicatEnglish-languageAlbums,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
http://dbpedia.org/class/yago/WikicatFolkRockAlbums,http://dbpedia.org/resource/Bookend,Bookend,48,0,0.8763472863510976,0.1410985665301227,0,37,== Discography == | === Cover album ===
