types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Olympic_Music_Festival,Alan Iglitzin,18,221,1.0,0.0,1,13,== Biography == | === Teacher ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Olympic_Music_Festival,Alan Iglitzin,18,221,1.0,0.0,1,13,== Biography == | === Teacher ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Olympic_Music_Festival,Alan Iglitzin,18,221,1.0,0.0,1,13,== Biography == | === Teacher ===
http://dbpedia.org/class/yago/Festival115162388,http://dbpedia.org/resource/Olympic_Music_Festival,Alan Iglitzin,18,221,1.0,0.0,1,13,== Biography == | === Teacher ===
http://dbpedia.org/class/yago/FundamentalQuantity113575869,http://dbpedia.org/resource/Olympic_Music_Festival,Alan Iglitzin,18,221,1.0,0.0,1,13,== Biography == | === Teacher ===
http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/resource/Olympic_Music_Festival,Alan Iglitzin,18,221,1.0,0.0,1,13,== Biography == | === Teacher ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Olympic_Music_Festival,Alan Iglitzin,18,221,1.0,0.0,1,13,== Biography == | === Teacher ===
http://dbpedia.org/class/yago/WikicatClassicalMusicFestivalsInTheUnitedStates,http://dbpedia.org/resource/Olympic_Music_Festival,Alan Iglitzin,18,221,1.0,0.0,1,13,== Biography == | === Teacher ===
http://dbpedia.org/class/yago/TimePeriod115113229,http://dbpedia.org/resource/Olympic_Music_Festival,Alan Iglitzin,18,221,1.0,0.0,1,13,== Biography == | === Teacher ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Olympic_Music_Festival,Alan Iglitzin,18,221,1.0,0.0,1,13,== Biography == | === Teacher ===
http://dbpedia.org/class/yago/WikicatFestivalsInWashington(state),http://dbpedia.org/resource/Olympic_Music_Festival,Alan Iglitzin,18,221,1.0,0.0,1,13,== Biography == | === Teacher ===
http://dbpedia.org/class/yago/WikicatRecurringEventsEstablishedIn1984,http://dbpedia.org/resource/Olympic_Music_Festival,Alan Iglitzin,18,221,1.0,0.0,1,13,== Biography == | === Teacher ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Olympic_Music_Festival,Alan Iglitzin,18,221,1.0,0.0,1,13,== Biography == | === Teacher ===
