types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/ontology/Aircraft,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/WikicatChemicalProperties,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/WikicatUnitsOfMeasurement,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/WikicatWaterQualityIndicators,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/WikicatLogarithms,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/WikicatScales,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/ChemicalProperty105009758,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/DefiniteQuantity113576101,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Exponent106812417,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Fact106636259,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Index106639674,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Information106634376,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Logarithm106812631,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/MathematicalNotation106808720,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Notation106808493,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Property104916342,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Scale113850304,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/Standard107260623,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/SystemOfMeasurement113577171,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/UnitOfMeasurement113583724,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
http://dbpedia.org/class/yago/WikicatPHIndicators,http://dbpedia.org/resource/PH,pH,8957,64,0.9987299007680512,0.0011533707195382,1,30,== Other ventures == | === Endorsements ===
