types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatComputerViruses,http://dbpedia.org/resource/Festi,Festi,5,69,0.9999998303688786,0.0,1,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/Writing106359877,http://dbpedia.org/resource/Festi,Festi,5,69,0.9999998303688786,0.0,1,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Festi,Festi,5,69,0.9999998303688786,0.0,1,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Festi,Festi,5,69,0.9999998303688786,0.0,1,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/Code106355894,http://dbpedia.org/resource/Festi,Festi,5,69,0.9999998303688786,0.0,1,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/CodingSystem106353757,http://dbpedia.org/resource/Festi,Festi,5,69,0.9999998303688786,0.0,1,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Festi,Festi,5,69,0.9999998303688786,0.0,1,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/MalevolentProgram106573020,http://dbpedia.org/resource/Festi,Festi,5,69,0.9999998303688786,0.0,1,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/Program106568978,http://dbpedia.org/resource/Festi,Festi,5,69,0.9999998303688786,0.0,1,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/Software106566077,http://dbpedia.org/resource/Festi,Festi,5,69,0.9999998303688786,0.0,1,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/Virus106585816,http://dbpedia.org/resource/Festi,Festi,5,69,0.9999998303688786,0.0,1,9,== Biography == | === Performing ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Gustavo_Bergalli,Gustavo Bergalli,9,210,1.0,0.0,2,9,== Biography == | === Performing ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Gustavo_Bergalli,Gustavo Bergalli,9,210,1.0,0.0,2,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/WikicatArgentineJazzMusicians,http://dbpedia.org/resource/Gustavo_Bergalli,Gustavo Bergalli,9,210,1.0,0.0,2,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/WikicatArgentineJazzTrumpeters,http://dbpedia.org/resource/Gustavo_Bergalli,Gustavo Bergalli,9,210,1.0,0.0,2,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/WikicatArgentineMusicians,http://dbpedia.org/resource/Gustavo_Bergalli,Gustavo Bergalli,9,210,1.0,0.0,2,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/WikicatArgentineTrumpeters,http://dbpedia.org/resource/Gustavo_Bergalli,Gustavo Bergalli,9,210,1.0,0.0,2,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/WikicatJazzComposers,http://dbpedia.org/resource/Gustavo_Bergalli,Gustavo Bergalli,9,210,1.0,0.0,2,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/WikicatJazzTrumpeters,http://dbpedia.org/resource/Gustavo_Bergalli,Gustavo Bergalli,9,210,1.0,0.0,2,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Gustavo_Bergalli,Gustavo Bergalli,9,210,1.0,0.0,2,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Gustavo_Bergalli,Gustavo Bergalli,9,210,1.0,0.0,2,9,== Biography == | === Performing ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Gustavo_Bergalli,Gustavo Bergalli,9,210,1.0,0.0,2,9,== Biography == | === Performing ===
