types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Fax,Fax Machine,1288,21,1.0,0.0,0,12,== Filmography == | === Commercials ===
http://dbpedia.org/ontology/MusicGenre,http://dbpedia.org/resource/Fax,Fax Machine,1288,21,1.0,0.0,0,12,== Filmography == | === Commercials ===
http://dbpedia.org/ontology/Automobile,http://dbpedia.org/resource/Fax,Fax Machine,1288,21,1.0,0.0,0,12,== Filmography == | === Commercials ===
