types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/WikicatInternationalMaritimeIncidents,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/WikicatInternetMemes,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/WikicatMaritimeIncidents,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Acculturation105984936,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Calamity107314838,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Controversy107183151,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Disagreement107180787,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Dispute107181935,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Happening107283608,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Incident107307477,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Meme105985126,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Misfortune107304852,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/SpeechAct107160883,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
http://dbpedia.org/class/yago/Trouble107289014,http://dbpedia.org/resource/Deepwater_Horizon_oil_spill,BP oil spill,1046,125,1.0,0.0,11,17,== Career == | === 1989–present: Retirement ===
