types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/ontology/Company,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/Crime100766234,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/Document106470073,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/WikicatComputerCrimes,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/WikicatPersonalIdentificationDocuments,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/Transgression100745005,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/Wrongdoing100732746,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Doxing,doxed,344,327,1.0,0.0,1,38,== Personal life == | === Online controversy ===
