types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/WikicatHanamiSpotsOfJapan,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/WikicatCemeteriesInJapan,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Cemetery108521623,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/GeographicalArea108574314,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Point108620061,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/Site108651247,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
http://dbpedia.org/class/yago/TopographicPoint108664443,http://dbpedia.org/resource/Aoyama_Cemetery,Aoyama,116,32,0.8801625052051795,0.1360324093188554,0,14,== Filmography == | === Television animation ===
