types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/The_Tidewater_Tales,The Tidewater Tales,2,0,0.9999999999768364,0.0,0,36,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/The_Tidewater_Tales,The Tidewater Tales,2,0,0.9999999999768364,0.0,0,36,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/The_Tidewater_Tales,The Tidewater Tales,2,0,0.9999999999768364,0.0,0,36,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Tidewater_Tales,The Tidewater Tales,2,0,0.9999999999768364,0.0,0,36,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Tidewater_Tales,The Tidewater Tales,2,0,0.9999999999768364,0.0,0,36,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Fiction106367107,http://dbpedia.org/resource/The_Tidewater_Tales,The Tidewater Tales,2,0,0.9999999999768364,0.0,0,36,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/The_Tidewater_Tales,The Tidewater Tales,2,0,0.9999999999768364,0.0,0,36,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Novel106367879,http://dbpedia.org/resource/The_Tidewater_Tales,The Tidewater Tales,2,0,0.9999999999768364,0.0,0,36,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Wikicat1987Novels,http://dbpedia.org/resource/The_Tidewater_Tales,The Tidewater Tales,2,0,0.9999999999768364,0.0,0,36,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Wikicat20th-centuryAmericanNovels,http://dbpedia.org/resource/The_Tidewater_Tales,The Tidewater Tales,2,0,0.9999999999768364,0.0,0,36,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/WikicatNovelsAboutWriters,http://dbpedia.org/resource/The_Tidewater_Tales,The Tidewater Tales,2,0,0.9999999999768364,0.0,0,36,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/WikicatNovelsByJohnBarth,http://dbpedia.org/resource/The_Tidewater_Tales,The Tidewater Tales,2,0,0.9999999999768364,0.0,0,36,== Selected works == | === Fiction ===
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Where_Three_Roads_Meet,Where Three Roads Meet,3,0,1.0,0.0,0,42,== Selected works == | === Fiction ===
http://dbpedia.org/ontology/Book,http://dbpedia.org/resource/Every_Third_Thought,Every Third Thought,2,0,0.9999999999996874,0.0,0,44,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Work104599396,http://dbpedia.org/resource/Every_Third_Thought,Every Third Thought,2,0,0.9999999999996874,0.0,0,44,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Every_Third_Thought,Every Third Thought,2,0,0.9999999999996874,0.0,0,44,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Book106410904,http://dbpedia.org/resource/Every_Third_Thought,Every Third Thought,2,0,0.9999999999996874,0.0,0,44,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Every_Third_Thought,Every Third Thought,2,0,0.9999999999996874,0.0,0,44,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Every_Third_Thought,Every Third Thought,2,0,0.9999999999996874,0.0,0,44,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Every_Third_Thought,Every Third Thought,2,0,0.9999999999996874,0.0,0,44,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Every_Third_Thought,Every Third Thought,2,0,0.9999999999996874,0.0,0,44,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Publication106589574,http://dbpedia.org/resource/Every_Third_Thought,Every Third Thought,2,0,0.9999999999996874,0.0,0,44,== Selected works == | === Fiction ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Every_Third_Thought,Every Third Thought,2,0,0.9999999999996874,0.0,0,44,== Selected works == | === Fiction ===
