types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/WikicatAmericanAlternativeRockMusicians,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/WikicatAmericanPeopleOfItalianDescent,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/WikicatAmericanRockCellists,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/WikicatPeopleFromNewYorkCity,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/ontology/MusicalArtist,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/WikicatLivingPeople,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/Artist109812338,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/Cellist109903501,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/Jane_Scarpantoni,Jane Scarpantoni,112,98,1.0,0.0,17,12,== Biography == | === King Missile ===
