types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Work,http://dbpedia.org/resource/Tenth_Doctor,tenth incarnation,1288,157,1.0,0.0,0,11,== Career == | === Buddhist influence ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Tenth_Doctor,tenth incarnation,1288,157,1.0,0.0,0,11,== Career == | === Buddhist influence ===
http://dbpedia.org/class/yago/Ability105616246,http://dbpedia.org/resource/Tenth_Doctor,tenth incarnation,1288,157,1.0,0.0,0,11,== Career == | === Buddhist influence ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Tenth_Doctor,tenth incarnation,1288,157,1.0,0.0,0,11,== Career == | === Buddhist influence ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Tenth_Doctor,tenth incarnation,1288,157,1.0,0.0,0,11,== Career == | === Buddhist influence ===
http://dbpedia.org/class/yago/Creativity105624700,http://dbpedia.org/resource/Tenth_Doctor,tenth incarnation,1288,157,1.0,0.0,0,11,== Career == | === Buddhist influence ===
http://dbpedia.org/class/yago/FictionalCharacter109587565,http://dbpedia.org/resource/Tenth_Doctor,tenth incarnation,1288,157,1.0,0.0,0,11,== Career == | === Buddhist influence ===
http://dbpedia.org/class/yago/ImaginaryBeing109483738,http://dbpedia.org/resource/Tenth_Doctor,tenth incarnation,1288,157,1.0,0.0,0,11,== Career == | === Buddhist influence ===
http://dbpedia.org/class/yago/Imagination105625465,http://dbpedia.org/resource/Tenth_Doctor,tenth incarnation,1288,157,1.0,0.0,0,11,== Career == | === Buddhist influence ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Tenth_Doctor,tenth incarnation,1288,157,1.0,0.0,0,11,== Career == | === Buddhist influence ===
http://dbpedia.org/class/yago/WikicatFictionalCharactersIntroducedIn2005,http://dbpedia.org/resource/Tenth_Doctor,tenth incarnation,1288,157,1.0,0.0,0,11,== Career == | === Buddhist influence ===
http://dbpedia.org/class/yago/WikicatTheSarahJaneAdventuresCharacters,http://dbpedia.org/resource/Tenth_Doctor,tenth incarnation,1288,157,1.0,0.0,0,11,== Career == | === Buddhist influence ===
