types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/ArtistDiscography,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatBunBSongs,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatDiscographiesOfAmericanArtists,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatLil'KekeSongs,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Catalog106487897,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Database106637824,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Discography106488224,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Information106634376,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/List106481320,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Message106598915,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
http://dbpedia.org/class/yago/WikicatPaulWallSongs,http://dbpedia.org/resource/Lil_Keke_discography,Str8 Out da Slums,5,6,1.0,0.0,0,19,== Discography == | === Studio albums ===
