types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/1967_Newark_riots,1967 riots,110,19,0.9999979249719144,1.809929019974216e-06,9,14,== Biographical information == | === 1966–1980 ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/1967_Newark_riots,1967 riots,110,19,0.9999979249719144,1.809929019974216e-06,9,14,== Biographical information == | === 1966–1980 ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/1967_Newark_riots,1967 riots,110,19,0.9999979249719144,1.809929019974216e-06,9,14,== Biographical information == | === 1966–1980 ===
http://dbpedia.org/class/yago/Aggression100964569,http://dbpedia.org/resource/1967_Newark_riots,1967 riots,110,19,0.9999979249719144,1.809929019974216e-06,9,14,== Biographical information == | === 1966–1980 ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/1967_Newark_riots,1967 riots,110,19,0.9999979249719144,1.809929019974216e-06,9,14,== Biographical information == | === 1966–1980 ===
http://dbpedia.org/ontology/Disease,http://dbpedia.org/resource/1967_Newark_riots,1967 riots,110,19,0.9999979249719144,1.809929019974216e-06,9,14,== Biographical information == | === 1966–1980 ===
http://dbpedia.org/class/yago/Riot101170502,http://dbpedia.org/resource/1967_Newark_riots,1967 riots,110,19,0.9999979249719144,1.809929019974216e-06,9,14,== Biographical information == | === 1966–1980 ===
http://dbpedia.org/class/yago/Violence100965404,http://dbpedia.org/resource/1967_Newark_riots,1967 riots,110,19,0.9999979249719144,1.809929019974216e-06,9,14,== Biographical information == | === 1966–1980 ===
http://dbpedia.org/class/yago/Wikicat1967Riots,http://dbpedia.org/resource/1967_Newark_riots,1967 riots,110,19,0.9999979249719144,1.809929019974216e-06,9,14,== Biographical information == | === 1966–1980 ===
http://dbpedia.org/class/yago/WikicatAfrican-AmericanRiotsInTheUnitedStates,http://dbpedia.org/resource/1967_Newark_riots,1967 riots,110,19,0.9999979249719144,1.809929019974216e-06,9,14,== Biographical information == | === 1966–1980 ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/1967_Newark_riots,1967 riots,110,19,0.9999979249719144,1.809929019974216e-06,9,14,== Biographical information == | === 1966–1980 ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/1967_Newark_riots,1967 riots,110,19,0.9999979249719144,1.809929019974216e-06,9,14,== Biographical information == | === 1966–1980 ===
