types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Islamic_art,Islamic design,1113,87,0.7913659678751199,0.2426231566841347,6,9,== Career == | === 1990–2005 ===
http://dbpedia.org/class/yago/WikicatArtGenres,http://dbpedia.org/resource/Islamic_art,Islamic design,1113,87,0.7913659678751199,0.2426231566841347,6,9,== Career == | === 1990–2005 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Islamic_art,Islamic design,1113,87,0.7913659678751199,0.2426231566841347,6,9,== Career == | === 1990–2005 ===
http://dbpedia.org/class/yago/Category105838765,http://dbpedia.org/resource/Islamic_art,Islamic design,1113,87,0.7913659678751199,0.2426231566841347,6,9,== Career == | === 1990–2005 ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Islamic_art,Islamic design,1113,87,0.7913659678751199,0.2426231566841347,6,9,== Career == | === 1990–2005 ===
http://dbpedia.org/class/yago/Concept105835747,http://dbpedia.org/resource/Islamic_art,Islamic design,1113,87,0.7913659678751199,0.2426231566841347,6,9,== Career == | === 1990–2005 ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Islamic_art,Islamic design,1113,87,0.7913659678751199,0.2426231566841347,6,9,== Career == | === 1990–2005 ===
http://dbpedia.org/class/yago/Genre105845332,http://dbpedia.org/resource/Islamic_art,Islamic design,1113,87,0.7913659678751199,0.2426231566841347,6,9,== Career == | === 1990–2005 ===
http://dbpedia.org/class/yago/Idea105833840,http://dbpedia.org/resource/Islamic_art,Islamic design,1113,87,0.7913659678751199,0.2426231566841347,6,9,== Career == | === 1990–2005 ===
http://dbpedia.org/class/yago/Kind105839024,http://dbpedia.org/resource/Islamic_art,Islamic design,1113,87,0.7913659678751199,0.2426231566841347,6,9,== Career == | === 1990–2005 ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Islamic_art,Islamic design,1113,87,0.7913659678751199,0.2426231566841347,6,9,== Career == | === 1990–2005 ===
