types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAwardsEstablishedIn1973,http://dbpedia.org/resource/Spellemannprisen,Norwegian Grammy awards,885,59,1.0,0.0,0,24,== Awards and nominations == | === 2013 ===
http://dbpedia.org/class/yago/WikicatJazzAwards,http://dbpedia.org/resource/Spellemannprisen,Norwegian Grammy awards,885,59,1.0,0.0,0,24,== Awards and nominations == | === 2013 ===
http://dbpedia.org/ontology/Award,http://dbpedia.org/resource/Spellemannprisen,Norwegian Grammy awards,885,59,1.0,0.0,0,24,== Awards and nominations == | === 2013 ===
http://dbpedia.org/class/yago/WikicatMusicAwards,http://dbpedia.org/resource/Spellemannprisen,Norwegian Grammy awards,885,59,1.0,0.0,0,24,== Awards and nominations == | === 2013 ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Spellemannprisen,Norwegian Grammy awards,885,59,1.0,0.0,0,24,== Awards and nominations == | === 2013 ===
http://dbpedia.org/class/yago/Award106696483,http://dbpedia.org/resource/Spellemannprisen,Norwegian Grammy awards,885,59,1.0,0.0,0,24,== Awards and nominations == | === 2013 ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Spellemannprisen,Norwegian Grammy awards,885,59,1.0,0.0,0,24,== Awards and nominations == | === 2013 ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Spellemannprisen,Norwegian Grammy awards,885,59,1.0,0.0,0,24,== Awards and nominations == | === 2013 ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Spellemannprisen,Norwegian Grammy awards,885,59,1.0,0.0,0,24,== Awards and nominations == | === 2013 ===
http://dbpedia.org/class/yago/WikicatNorwegianAwards,http://dbpedia.org/resource/Spellemannprisen,Norwegian Grammy awards,885,59,1.0,0.0,0,24,== Awards and nominations == | === 2013 ===
http://dbpedia.org/class/yago/WikicatNorwegianMusicAwards,http://dbpedia.org/resource/Spellemannprisen,Norwegian Grammy awards,885,59,1.0,0.0,0,24,== Awards and nominations == | === 2013 ===
