types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Mammal,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/WikicatColobineMonkeys,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://umbel.org/umbel/rc/Animal,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://umbel.org/umbel/rc/BiologicalLivingObject,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://umbel.org/umbel/rc/EukaryoticCell,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://umbel.org/umbel/rc/Mammal,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/Animal100015388,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/Chordate101466257,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/Mammal101861778,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/Monkey102484322,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/Placental101886756,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/Primate102469914,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/Vertebrate101471682,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
http://dbpedia.org/class/yago/WikicatOldWorldMonkeys,http://dbpedia.org/resource/Black-and-white_colobus,Colobus,340,0,1.0,0.0,4,11,== Career == | === Media career ===
