types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/BroadcastNetwork,http://dbpedia.org/resource/Intercollegiate_Broadcasting_System,Intercollegiate Broadcasting System,31,68,1.0,0.0,1,9,== Life and career == | === Europe ===
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Intercollegiate_Broadcasting_System,Intercollegiate Broadcasting System,31,68,1.0,0.0,1,9,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Intercollegiate_Broadcasting_System,Intercollegiate Broadcasting System,31,68,1.0,0.0,1,9,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Intercollegiate_Broadcasting_System,Intercollegiate Broadcasting System,31,68,1.0,0.0,1,9,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Intercollegiate_Broadcasting_System,Intercollegiate Broadcasting System,31,68,1.0,0.0,1,9,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/WikicatRadioOrganizationsInTheUnitedStates,http://dbpedia.org/resource/Intercollegiate_Broadcasting_System,Intercollegiate Broadcasting System,31,68,1.0,0.0,1,9,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Intercollegiate_Broadcasting_System,Intercollegiate Broadcasting System,31,68,1.0,0.0,1,9,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Intercollegiate_Broadcasting_System,Intercollegiate Broadcasting System,31,68,1.0,0.0,1,9,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/Organization108008335,http://dbpedia.org/resource/Intercollegiate_Broadcasting_System,Intercollegiate Broadcasting System,31,68,1.0,0.0,1,9,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/SocialGroup107950920,http://dbpedia.org/resource/Intercollegiate_Broadcasting_System,Intercollegiate Broadcasting System,31,68,1.0,0.0,1,9,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/WikicatOrganizationsEstablishedIn1940,http://dbpedia.org/resource/Intercollegiate_Broadcasting_System,Intercollegiate Broadcasting System,31,68,1.0,0.0,1,9,== Life and career == | === Europe ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/WikicatItalian-languageOperas,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/ClassicalMusic107025900,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/ExpressiveStyle107066659,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/MusicGenre107071942,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/Opera107026352,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/Wikicat1791Operas,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/Wikicat18th-centuryOperas,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/Wikicat1951Operas,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/WikicatOperas,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://dbpedia.org/class/yago/WikicatOperasByJosephHaydn,http://dbpedia.org/resource/L'anima_del_filosofo,L'anima del filosofo,34,60,1.0,0.0,0,11,== Life and career == | === Europe ===
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/WikicatBritishHistorians,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Associate109816771,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Classicist109926656,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Colleague109935990,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Historian110177150,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Humanist110191192,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Peer109626238,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Scholar110557854,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/WikicatEnglishClassicalScholars,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/WikicatEnglishHistorians,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
http://dbpedia.org/class/yago/WikicatFellowsOfTheBritishAcademy,http://dbpedia.org/resource/William_Woodthorpe_Tarn,Tarn,54,152,0.5486315438349119,0.8227169058681361,0,16,== Life and career == | === Later years ===
