types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatADK(company)Games,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://dbpedia.org/class/yago/WikicatArcadeGames,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://dbpedia.org/class/yago/WikicatPlayStation2Games,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://dbpedia.org/class/yago/WikicatVideoGamesDevelopedInJapan,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://dbpedia.org/class/yago/WikicatWiiGames,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://umbel.org/umbel/rc/ComputerGameProgram,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://umbel.org/umbel/rc/SoftwareObject,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://dbpedia.org/class/yago/WikicatSNKGames,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://dbpedia.org/class/yago/WikicatSNKPlaymoreGames,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://dbpedia.org/class/yago/WikicatSegaSaturnGames,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/World_Heroes,World Heroes,104,18,0.9999999795466296,2.045330528228213e-08,0,44,== Filmography == | === Theatrical animation ===
