types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/ontology/Royalty,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/WikicatByzantineGovernorsOfThessalonica,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/WikicatByzantinePrisonersAndDetainees,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://umbel.org/umbel/rc/RoyalFamily,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Emperor110053004,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Governor110140314,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/HeadOfState110164747,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Negotiator110351874,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Politician110451263,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Prisoner110476086,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Representative110522035,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Ruler110541229,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Sovereign110628644,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Unfortunate109630641,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Wikicat14th-centuryByzantineEmperors,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Wikicat15th-centuryByzantineEmperors,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/Wikicat15th-centuryByzantinePeople,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
http://dbpedia.org/class/yago/WikicatOrthodoxMonarchs,http://dbpedia.org/resource/Manuel_II_Palaiologos,Manuel II Paleologus,286,194,1.0,0.0,6,75,== Papacy: 2005–2013 == | ==== Islam ====
