types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/TelevisionShow,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/WikicatDirect-to-videoFilms,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/WikicatDisneyDirect-to-videoFilms,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Broadcasting106276697,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Creation103129123,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Medium106254669,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Movie106613686,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Product104007894,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Show106619065,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/SocialEvent107288639,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Telecommunication106271778,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Television106277280,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
http://dbpedia.org/class/yago/WikicatFilmsReleasedOnHomeVideo,http://dbpedia.org/resource/Disney_Sing-Along_Songs,Disney Sing Along Songs,52,75,1.0,0.0,10,27,== Career == | === 1990s ===
