types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/MaleAristocrat110285135,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Noble110271677,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Aristocrat109807754,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Baron109840520,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/WikicatBaronsInThePeerageOfEngland,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Baron_Barnard,Baron Barnard,54,0,0.9999999999999148,0.0,7,4,== Biography == | === Early life ===
