types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/WikicatAircraftMarkings,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/ontology/Island,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/WikicatIdentifiers,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/WikicatPublicRecords,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/WikicatCountryCodes,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Writing100614224,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Aviation108433727,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Code106667317,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Collection107951464,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Cryptography100614489,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Encoding100615887,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Evidence106643408,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Identifier107270601,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Indication106797169,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Marker107270179,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Record106647206,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Signal106791372,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/Symbol106806469,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
http://dbpedia.org/class/yago/WikicatEncodings,http://dbpedia.org/resource/Aircraft_registration,aircraft registration,1867,163,1.0,0.0,9,28,== Personal life == | === Death ===
