types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/WikicatIndianReligions,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/ontology/EthnicGroup,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/WikicatMonotheisticReligions,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/Belief105941423,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/CardinalVirtue104847600,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/Content105809192,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/Good104849241,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/Morality104846770,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/Quality104723816,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/Religion105946687,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/TheologicalVirtue104847991,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/yago/Virtue104847482,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
http://dbpedia.org/class/Book,http://dbpedia.org/resource/Sikhism,Sikhi,3939,62,1.0,0.0,10,9,== History == | === Later career ===
