types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Riser_card,riser,18,10,0.7673389155203815,0.2173978011175168,1,8,== Career == | === Judas Priest ===
http://dbpedia.org/class/yago/WikicatComputerBuses,http://dbpedia.org/resource/Riser_card,riser,18,10,0.7673389155203815,0.2173978011175168,1,8,== Career == | === Judas Priest ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Riser_card,riser,18,10,0.7673389155203815,0.2173978011175168,1,8,== Career == | === Judas Priest ===
http://dbpedia.org/class/yago/Arrangement105726596,http://dbpedia.org/resource/Riser_card,riser,18,10,0.7673389155203815,0.2173978011175168,1,8,== Career == | === Judas Priest ===
http://dbpedia.org/class/yago/BusTopology105730591,http://dbpedia.org/resource/Riser_card,riser,18,10,0.7673389155203815,0.2173978011175168,1,8,== Career == | === Judas Priest ===
http://dbpedia.org/class/yago/Cognition100023271,http://dbpedia.org/resource/Riser_card,riser,18,10,0.7673389155203815,0.2173978011175168,1,8,== Career == | === Judas Priest ===
http://dbpedia.org/class/yago/Configuration105731779,http://dbpedia.org/resource/Riser_card,riser,18,10,0.7673389155203815,0.2173978011175168,1,8,== Career == | === Judas Priest ===
http://dbpedia.org/class/yago/Design105728678,http://dbpedia.org/resource/Riser_card,riser,18,10,0.7673389155203815,0.2173978011175168,1,8,== Career == | === Judas Priest ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Riser_card,riser,18,10,0.7673389155203815,0.2173978011175168,1,8,== Career == | === Judas Priest ===
http://dbpedia.org/class/yago/Structure105726345,http://dbpedia.org/resource/Riser_card,riser,18,10,0.7673389155203815,0.2173978011175168,1,8,== Career == | === Judas Priest ===
http://dbpedia.org/class/yago/Topology105730365,http://dbpedia.org/resource/Riser_card,riser,18,10,0.7673389155203815,0.2173978011175168,1,8,== Career == | === Judas Priest ===
http://dbpedia.org/class/yago/WikicatJudasPriestConcertTours,http://dbpedia.org/resource/Epitaph_World_Tour,Epitaph,23,102,0.988285377585105,0.0117343860627644,0,17,== Career == | === Reunion with Judas Priest ===
http://dbpedia.org/ontology/WomensTennisAssociationTournament,http://dbpedia.org/resource/Epitaph_World_Tour,Epitaph,23,102,0.988285377585105,0.0117343860627644,0,17,== Career == | === Reunion with Judas Priest ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Epitaph_World_Tour,Epitaph,23,102,0.988285377585105,0.0117343860627644,0,17,== Career == | === Reunion with Judas Priest ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Epitaph_World_Tour,Epitaph,23,102,0.988285377585105,0.0117343860627644,0,17,== Career == | === Reunion with Judas Priest ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Epitaph_World_Tour,Epitaph,23,102,0.988285377585105,0.0117343860627644,0,17,== Career == | === Reunion with Judas Priest ===
http://dbpedia.org/class/yago/Action100037396,http://dbpedia.org/resource/Epitaph_World_Tour,Epitaph,23,102,0.988285377585105,0.0117343860627644,0,17,== Career == | === Reunion with Judas Priest ===
http://dbpedia.org/class/yago/Change100191142,http://dbpedia.org/resource/Epitaph_World_Tour,Epitaph,23,102,0.988285377585105,0.0117343860627644,0,17,== Career == | === Reunion with Judas Priest ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Epitaph_World_Tour,Epitaph,23,102,0.988285377585105,0.0117343860627644,0,17,== Career == | === Reunion with Judas Priest ===
http://dbpedia.org/class/yago/Journey100306426,http://dbpedia.org/resource/Epitaph_World_Tour,Epitaph,23,102,0.988285377585105,0.0117343860627644,0,17,== Career == | === Reunion with Judas Priest ===
http://dbpedia.org/class/yago/Motion100279835,http://dbpedia.org/resource/Epitaph_World_Tour,Epitaph,23,102,0.988285377585105,0.0117343860627644,0,17,== Career == | === Reunion with Judas Priest ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Epitaph_World_Tour,Epitaph,23,102,0.988285377585105,0.0117343860627644,0,17,== Career == | === Reunion with Judas Priest ===
http://dbpedia.org/class/yago/Tour100310666,http://dbpedia.org/resource/Epitaph_World_Tour,Epitaph,23,102,0.988285377585105,0.0117343860627644,0,17,== Career == | === Reunion with Judas Priest ===
