types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://xmlns.com/foaf/0.1/Person,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://www.wikidata.org/entity/Q19088,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://www.wikidata.org/entity/Q215627,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://www.wikidata.org/entity/Q4964182,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://www.wikidata.org/entity/Q5,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://www.wikidata.org/entity/Q729,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/ontology/Animal,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/ontology/Eukaryote,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/ontology/Species,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://schema.org/Person,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatMysticPoets,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatMystics,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatVaishnavaSaints,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatWriters,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/WikicatPeopleFromSantKabirNagarDistrict,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Believer109847727,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Communicator109610660,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/GoodPerson110138767,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Mystic110343554,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/Kabir,Kabir Das,586,166,1.0,0.0,0,9,== Career == | === As actor ===
