types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/Company108058098,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Company108187033,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Creator109614315,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Dancer109989502,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Educator110045713,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Entertainer109616922,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Group100031264,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Institution108053576,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Intellectual109621545,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Musician110339966,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Musician110340312,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/New_York_City_Ballet,Richard Tanner,1957,143,1.0,0.0,2,14,== Life and career == | === 1980s ===
