types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatCriminals,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/Wrongdoer109633969,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/BadPerson109831962,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/Criminal109977660,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/Fugitive110115082,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/Organism100004475,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/Person100007846,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/Principal110474950,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
http://dbpedia.org/class/yago/WikicatFBITenMostWantedFugitives,http://dbpedia.org/resource/FBI_Ten_Most_Wanted_Fugitives,Most Wanted Fugitives,615,220,1.0,0.0,3,6,== Early life == | === Panther heritage ===
