types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Language,http://dbpedia.org/resource/Part-talkie,part-talking,89,41,0.999999999799968,0.0,10,8,== Career == | === Films ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/Part-talkie,part-talking,89,41,0.999999999799968,0.0,10,8,== Career == | === Films ===
http://dbpedia.org/class/yago/Equipment103294048,http://dbpedia.org/resource/Part-talkie,part-talking,89,41,0.999999999799968,0.0,10,8,== Career == | === Films ===
http://dbpedia.org/class/yago/Film103338821,http://dbpedia.org/resource/Part-talkie,part-talking,89,41,0.999999999799968,0.0,10,8,== Career == | === Films ===
http://dbpedia.org/class/yago/Instrumentality103575240,http://dbpedia.org/resource/Part-talkie,part-talking,89,41,0.999999999799968,0.0,10,8,== Career == | === Films ===
http://dbpedia.org/class/yago/Motion-pictureFilm103789400,http://dbpedia.org/resource/Part-talkie,part-talking,89,41,0.999999999799968,0.0,10,8,== Career == | === Films ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Part-talkie,part-talking,89,41,0.999999999799968,0.0,10,8,== Career == | === Films ===
http://dbpedia.org/class/yago/PhotographicEquipment103926148,http://dbpedia.org/resource/Part-talkie,part-talking,89,41,0.999999999799968,0.0,10,8,== Career == | === Films ===
http://dbpedia.org/class/yago/PhotographicPaper103926412,http://dbpedia.org/resource/Part-talkie,part-talking,89,41,0.999999999799968,0.0,10,8,== Career == | === Films ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Part-talkie,part-talking,89,41,0.999999999799968,0.0,10,8,== Career == | === Films ===
http://dbpedia.org/class/yago/SoundFilm104261868,http://dbpedia.org/resource/Part-talkie,part-talking,89,41,0.999999999799968,0.0,10,8,== Career == | === Films ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/Part-talkie,part-talking,89,41,0.999999999799968,0.0,10,8,== Career == | === Films ===
http://dbpedia.org/class/yago/WikicatTransitionalSoundFilms,http://dbpedia.org/resource/Part-talkie,part-talking,89,41,0.999999999799968,0.0,10,8,== Career == | === Films ===
