types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatAlternativePhotographicProcesses,http://dbpedia.org/resource/Platinum_print,platinum print,97,43,1.0,0.0,0,24,== Posthumously == | === Art market ===
http://dbpedia.org/class/yago/WikicatPhotographicProcesses,http://dbpedia.org/resource/Platinum_print,platinum print,97,43,1.0,0.0,0,24,== Posthumously == | === Art market ===
http://dbpedia.org/class/yago/WikicatPhotographicProcessesDatingFromThe19thCentury,http://dbpedia.org/resource/Platinum_print,platinum print,97,43,1.0,0.0,0,24,== Posthumously == | === Art market ===
http://dbpedia.org/ontology/Artwork,http://dbpedia.org/resource/Platinum_print,platinum print,97,43,1.0,0.0,0,24,== Posthumously == | === Art market ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Platinum_print,platinum print,97,43,1.0,0.0,0,24,== Posthumously == | === Art market ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Platinum_print,platinum print,97,43,1.0,0.0,0,24,== Posthumously == | === Art market ===
http://dbpedia.org/class/yago/Act100030358,http://dbpedia.org/resource/Platinum_print,platinum print,97,43,1.0,0.0,0,24,== Posthumously == | === Art market ===
http://dbpedia.org/class/yago/Activity100407535,http://dbpedia.org/resource/Platinum_print,platinum print,97,43,1.0,0.0,0,24,== Posthumously == | === Art market ===
http://dbpedia.org/class/yago/Event100029378,http://dbpedia.org/resource/Platinum_print,platinum print,97,43,1.0,0.0,0,24,== Posthumously == | === Art market ===
http://dbpedia.org/class/yago/Procedure101023820,http://dbpedia.org/resource/Platinum_print,platinum print,97,43,1.0,0.0,0,24,== Posthumously == | === Art market ===
http://dbpedia.org/class/yago/PsychologicalFeature100023100,http://dbpedia.org/resource/Platinum_print,platinum print,97,43,1.0,0.0,0,24,== Posthumously == | === Art market ===
