types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatDukesOfHernani,http://dbpedia.org/resource/Duke_of_Hernani,Hernani,5,55,0.7332147125998473,0.3560618846900595,1,4,== Career == | === Individual work ===
http://dbpedia.org/class/yago/YagoLegalActor,http://dbpedia.org/resource/Duke_of_Hernani,Hernani,5,55,0.7332147125998473,0.3560618846900595,1,4,== Career == | === Individual work ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Duke_of_Hernani,Hernani,5,55,0.7332147125998473,0.3560618846900595,1,4,== Career == | === Individual work ===
http://dbpedia.org/class/yago/Aristocrat109807754,http://dbpedia.org/resource/Duke_of_Hernani,Hernani,5,55,0.7332147125998473,0.3560618846900595,1,4,== Career == | === Individual work ===
http://dbpedia.org/class/yago/CausalAgent100007347,http://dbpedia.org/resource/Duke_of_Hernani,Hernani,5,55,0.7332147125998473,0.3560618846900595,1,4,== Career == | === Individual work ===
http://dbpedia.org/class/yago/Duke110038620,http://dbpedia.org/resource/Duke_of_Hernani,Hernani,5,55,0.7332147125998473,0.3560618846900595,1,4,== Career == | === Individual work ===
http://dbpedia.org/class/yago/Leader109623038,http://dbpedia.org/resource/Duke_of_Hernani,Hernani,5,55,0.7332147125998473,0.3560618846900595,1,4,== Career == | === Individual work ===
http://dbpedia.org/class/yago/LivingThing100004258,http://dbpedia.org/resource/Duke_of_Hernani,Hernani,5,55,0.7332147125998473,0.3560618846900595,1,4,== Career == | === Individual work ===
http://dbpedia.org/class/yago/MaleAristocrat110285135,http://dbpedia.org/resource/Duke_of_Hernani,Hernani,5,55,0.7332147125998473,0.3560618846900595,1,4,== Career == | === Individual work ===
http://dbpedia.org/class/yago/Noble110271677,http://dbpedia.org/resource/Duke_of_Hernani,Hernani,5,55,0.7332147125998473,0.3560618846900595,1,4,== Career == | === Individual work ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Duke_of_Hernani,Hernani,5,55,0.7332147125998473,0.3560618846900595,1,4,== Career == | === Individual work ===
