types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Person,http://dbpedia.org/resource/Rugby_union_positions,wing,11801,77,0.7834438512485669,0.2643502833251593,7,25,== Personal life == | === Political views ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/Rugby_union_positions,wing,11801,77,0.7834438512485669,0.2643502833251593,7,25,== Personal life == | === Political views ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/Rugby_union_positions,wing,11801,77,0.7834438512485669,0.2643502833251593,7,25,== Personal life == | === Political views ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/Rugby_union_positions,wing,11801,77,0.7834438512485669,0.2643502833251593,7,25,== Personal life == | === Political views ===
http://dbpedia.org/class/yago/WikicatRugbyUnionPositions,http://dbpedia.org/resource/Rugby_union_positions,wing,11801,77,0.7834438512485669,0.2643502833251593,7,25,== Personal life == | === Political views ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/Rugby_union_positions,wing,11801,77,0.7834438512485669,0.2643502833251593,7,25,== Personal life == | === Political views ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/Rugby_union_positions,wing,11801,77,0.7834438512485669,0.2643502833251593,7,25,== Personal life == | === Political views ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/Rugby_union_positions,wing,11801,77,0.7834438512485669,0.2643502833251593,7,25,== Personal life == | === Political views ===
http://dbpedia.org/class/yago/Point108620061,http://dbpedia.org/resource/Rugby_union_positions,wing,11801,77,0.7834438512485669,0.2643502833251593,7,25,== Personal life == | === Political views ===
http://dbpedia.org/class/yago/Position108621598,http://dbpedia.org/resource/Rugby_union_positions,wing,11801,77,0.7834438512485669,0.2643502833251593,7,25,== Personal life == | === Political views ===
http://dbpedia.org/class/yago/WikicatFootballPositions,http://dbpedia.org/resource/Rugby_union_positions,wing,11801,77,0.7834438512485669,0.2643502833251593,7,25,== Personal life == | === Political views ===
