types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/The_Daemon_Lover,The Daemon Lover,50,77,1.0,0.0,2,9,== Compositions (selective list) == | === Orchestral ===
http://dbpedia.org/class/yago/WikicatJoanBaezSongs,http://dbpedia.org/resource/The_Daemon_Lover,The Daemon Lover,50,77,1.0,0.0,2,9,== Compositions (selective list) == | === Orchestral ===
http://dbpedia.org/ontology/MusicalWork,http://dbpedia.org/resource/The_Daemon_Lover,The Daemon Lover,50,77,1.0,0.0,2,9,== Compositions (selective list) == | === Orchestral ===
http://dbpedia.org/class/yago/WikicatChildBallads,http://dbpedia.org/resource/The_Daemon_Lover,The Daemon Lover,50,77,1.0,0.0,2,9,== Compositions (selective list) == | === Orchestral ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Daemon_Lover,The Daemon Lover,50,77,1.0,0.0,2,9,== Compositions (selective list) == | === Orchestral ===
http://dbpedia.org/class/yago/AuditoryCommunication107109019,http://dbpedia.org/resource/The_Daemon_Lover,The Daemon Lover,50,77,1.0,0.0,2,9,== Compositions (selective list) == | === Orchestral ===
http://dbpedia.org/class/yago/Ballad107049713,http://dbpedia.org/resource/The_Daemon_Lover,The Daemon Lover,50,77,1.0,0.0,2,9,== Compositions (selective list) == | === Orchestral ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Daemon_Lover,The Daemon Lover,50,77,1.0,0.0,2,9,== Compositions (selective list) == | === Orchestral ===
http://dbpedia.org/class/yago/Music107020895,http://dbpedia.org/resource/The_Daemon_Lover,The Daemon Lover,50,77,1.0,0.0,2,9,== Compositions (selective list) == | === Orchestral ===
http://dbpedia.org/class/yago/MusicalComposition107037465,http://dbpedia.org/resource/The_Daemon_Lover,The Daemon Lover,50,77,1.0,0.0,2,9,== Compositions (selective list) == | === Orchestral ===
http://dbpedia.org/class/yago/Song107048000,http://dbpedia.org/resource/The_Daemon_Lover,The Daemon Lover,50,77,1.0,0.0,2,9,== Compositions (selective list) == | === Orchestral ===
