types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/ontology/Artwork,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatDistrictsOfNewham,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/YagoGeoEntity,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/YagoLegalActorGeo,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/YagoPermanentlyLocatedEntity,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Area108497294,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Artifact100021939,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Center108523483,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/District108552138,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Location100027167,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Object100002684,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/PhysicalEntity100001930,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Region108630985,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Scene108645963,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Stadium104295881,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Structure104341686,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Venue108677628,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Whole100003553,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Wikicat2012SummerOlympicVenues,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/Wikicat2012SummerParalympicVenues,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatOlympicJudoVenues,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatOlympicStadiums,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatOlympicTableTennisVenues,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatOlympicTaekwondoVenues,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatSportsVenuesInEngland,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
http://dbpedia.org/class/yago/WikicatSportsVenuesInLondon,http://dbpedia.org/resource/ExCeL_London,ExCeL London,435,114,1.0,0.0,22,6,== Career == | === Music ===
