types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/ontology/Poem,http://dbpedia.org/resource/The_Oven_Bird,The Oven Bird,4,179,1.0,0.0,4,10,== Career == | === Mutt ===
http://dbpedia.org/class/yago/Writing106362953,http://dbpedia.org/resource/The_Oven_Bird,The Oven Bird,4,179,1.0,0.0,4,10,== Career == | === Mutt ===
http://dbpedia.org/class/yago/WrittenCommunication106349220,http://dbpedia.org/resource/The_Oven_Bird,The Oven Bird,4,179,1.0,0.0,4,10,== Career == | === Mutt ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/The_Oven_Bird,The Oven Bird,4,179,1.0,0.0,4,10,== Career == | === Mutt ===
http://dbpedia.org/class/yago/Communication100033020,http://dbpedia.org/resource/The_Oven_Bird,The Oven Bird,4,179,1.0,0.0,4,10,== Career == | === Mutt ===
http://dbpedia.org/class/yago/LiteraryComposition106364329,http://dbpedia.org/resource/The_Oven_Bird,The Oven Bird,4,179,1.0,0.0,4,10,== Career == | === Mutt ===
http://dbpedia.org/class/yago/Poem106377442,http://dbpedia.org/resource/The_Oven_Bird,The Oven Bird,4,179,1.0,0.0,4,10,== Career == | === Mutt ===
http://dbpedia.org/class/yago/Wikicat1916Poems,http://dbpedia.org/resource/The_Oven_Bird,The Oven Bird,4,179,1.0,0.0,4,10,== Career == | === Mutt ===
http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/resource/Dry_county,dry county,536,97,1.0,0.0,2,12,== Career == | === The No-Hit Wonder ===
