types,URI,entity,support,offset,similarityScore,percentageOfSecondRank,sentenceIndex,paragraphIndex,section
http://dbpedia.org/class/yago/WikicatPrimeNumbers,http://dbpedia.org/resource/Modular_arithmetic,modular arithmetic,1531,27,1.0,0.0,1,23,== Works == | === De arithmetica ===
http://dbpedia.org/class/yago/Abstraction100002137,http://dbpedia.org/resource/Modular_arithmetic,modular arithmetic,1531,27,1.0,0.0,1,23,== Works == | === De arithmetica ===
http://dbpedia.org/class/yago/Attribute100024264,http://dbpedia.org/resource/Modular_arithmetic,modular arithmetic,1531,27,1.0,0.0,1,23,== Works == | === De arithmetica ===
http://dbpedia.org/class/yago/DefiniteQuantity113576101,http://dbpedia.org/resource/Modular_arithmetic,modular arithmetic,1531,27,1.0,0.0,1,23,== Works == | === De arithmetica ===
http://dbpedia.org/class/yago/Measure100033615,http://dbpedia.org/resource/Modular_arithmetic,modular arithmetic,1531,27,1.0,0.0,1,23,== Works == | === De arithmetica ===
http://dbpedia.org/class/yago/Number113582013,http://dbpedia.org/resource/Modular_arithmetic,modular arithmetic,1531,27,1.0,0.0,1,23,== Works == | === De arithmetica ===
http://dbpedia.org/class/yago/Prime113594005,http://dbpedia.org/resource/Modular_arithmetic,modular arithmetic,1531,27,1.0,0.0,1,23,== Works == | === De arithmetica ===
http://dbpedia.org/class/yago/PrimeNumber113594302,http://dbpedia.org/resource/Modular_arithmetic,modular arithmetic,1531,27,1.0,0.0,1,23,== Works == | === De arithmetica ===
http://dbpedia.org/class/yago/Property104916342,http://dbpedia.org/resource/Modular_arithmetic,modular arithmetic,1531,27,1.0,0.0,1,23,== Works == | === De arithmetica ===
http://dbpedia.org/class/yago/Ring104981658,http://dbpedia.org/resource/Modular_arithmetic,modular arithmetic,1531,27,1.0,0.0,1,23,== Works == | === De arithmetica ===
http://dbpedia.org/class/yago/Sound104981139,http://dbpedia.org/resource/Modular_arithmetic,modular arithmetic,1531,27,1.0,0.0,1,23,== Works == | === De arithmetica ===
http://dbpedia.org/class/yago/SoundProperty104983122,http://dbpedia.org/resource/Modular_arithmetic,modular arithmetic,1531,27,1.0,0.0,1,23,== Works == | === De arithmetica ===
http://dbpedia.org/class/yago/WikicatFiniteRings,http://dbpedia.org/resource/Modular_arithmetic,modular arithmetic,1531,27,1.0,0.0,1,23,== Works == | === De arithmetica ===
